train_acc,val_acc
0.21443888491779842,0.19574036511156187
0.22301644031451037,0.19168356997971603
0.2693590659995235,0.24036511156186613
0.28722897307600664,0.22008113590263692
0.29437693590659997,0.22210953346855983
0.2861567786514177,0.2302231237322515
0.30986418870621874,0.2434077079107505
0.2885394329282821,0.21399594320486814
0.28043840838694306,0.1845841784989858
0.3303550154872528,0.24949290060851928
0.3068858708601382,0.20588235294117646
0.28865856564212533,0.2210953346855984
0.31236597569692637,0.23225152129817445
0.3073624017155111,0.21906693711967545
0.31057898498927805,0.20486815415821502
0.3286871574934477,0.20385395537525355
0.334762925899452,0.22920892494929007
0.3198713366690493,0.23123732251521298
0.29223254705742197,0.21399594320486814
0.35513461996664286,0.2150101419878296
